name,latitude,longitude,locality,country_code
Pacifico,9.9435,126.1033,Pacifico,ph
Pansukian,9.73351,126.13902,Daku,ph
Parada Santa,17.49163,120.42613,Tabucolan,ph
Pencit Reef,9.83418,126.1644,Catangnan,ph
Pilar,9.8577,126.0983,Pilar,ph
Pirates Cove,11.606,125.44722,Borongan,ph
Poro Point,16.6064,120.28783,The Point Residences,ph
Puro Pinget,17.69223,120.3561,Ilocos Sur,ph
Random Beach Break,9.29598,125.99974,Cantilan,ph
Star Tubes,17.92371,120.43735,Badoc,ph
Stimpy's,9.8435,126.1567,Santa Fe,ph
Sulingan Beach,10.966,125.8269,Sitio Cabanian,ph
Tago River,8.9883,126.2661,La Paz,ph
Tuason Point,9.80648,126.1636,Catangnan,ph
Turtle Head,17.91488,120.41187,Badoc,ph
Urbiztondo Beach,16.65492,120.31823,Urbiztondo,ph
Virac Harbour,13.58103,124.23505,Salvacion,ph
Achadas da Cruz,32.85345,-17.21588,Calhau das Achadas,pt
Afife,41.78026,-8.87116,Afife,pt
Água d'Alto,37.71656,-25.45562,Água d'Alto,pt
Aguçadoura,41.44399,-8.77935,Póvoa de Varzim,pt
Albufeira,37.08653,-8.24948,Albufeira e Olhos de Água,pt
Almagreira,39.37982,-9.31212,Ferrel,pt
Altura,37.17005,-7.49794,Altura,pt
Alvor,37.12255,-8.59,Alvor,pt
Amado,37.16709,-8.9032,Aljezur,pt
Amoreira,37.3508,-8.8446,Aljezur,pt
Areia Branca,39.26324,-9.33566,Lourinhã e Atalaia,pt
Arrifana,37.29398,-8.86558,Arrifana,pt
Aterro,41.20848,-8.71561,Matosinhos,pt
Azurara,41.33752,-8.74159,Azurara,pt
Baleal,39.37365,-9.33825,Baleal,pt
Beliche,37.02561,-8.96402,Vila do Bispo,pt
Bico,38.65643,-9.09226,Barreiro e Lavradio,pt
Bordeira,37.1976,-8.9012,Aljezur,pt
Cabedelo de Viana,41.67859,-8.83112,Darque,pt
Cabedelo do Douro,41.13797,-8.66674,Vila Nova de Gaia,pt
Cabo do Mundo,41.219399,-8.714852,Perafita,pt
Canide Norte,41.11499,-8.66369,Madalena,pt
Cantinho da Baía,39.36719,-9.33959,Parque Residêncial Balealcoop,pt
